brand_id,brand_name,year_of_foundation,country_of_origin,headquarters_country,employees,revenue_billion_usd,age_prenatal,age_0_5,age_6_12,age_teens,age_young_adults,age_seniors,income_low,income_middle,income_high,income_premium,income_snap_support,lifestyle_family,lifestyle_youth,lifestyle_seniors,lifestyle_health_focused,lifestyle_convenience,lifestyle_tech_savvy,lifestyle_sustainability_conscious,has_franchises,has_drive_through,owns_fleet,online_sales,electric_vehicles_percent,fossil_fuel_reliance,esg_programs,sustainability_actions,major_sustainability_award_last5y,demographics_income_level,demographics_geographic_reach,demographics_gender,demographics_lifestyle,target_population,main_partnerships,branding_innovation_level,supply_chain_localization,product_portfolio_diversity,customer_loyalty_index,r_and_d_spend_percent_revenue,women_board_percent,ceo_tenure_years,market_cap_billion_usd,references_and_links
344494,Tiller Foods,1996.0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown,Limited public info,Limited public info,0,Mixed,Regional to Global,All genders,Varied,General consumers,Research in progress,1,30,1,50,1.0,25,3,0,https://duckduckgo.com/?q=Tiller+Foods
342405,Crispura,2012.0,UK,UK,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown,Limited public info,Limited public info,0,Mixed,Regional to Global,All genders,Varied,General consumers,Research in progress,1,30,1,50,1.0,25,3,0,https://duckduckgo.com/?q=Crispura
343253,Houchens,,United States,United States,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown,Limited public info,Limited public info,0,Mixed,Regional to Global,All genders,Varied,General consumers,Research in progress,1,30,1,50,1.0,25,3,0,https://duckduckgo.com/?q=Houchens
343201,Compleats,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown,Limited public info,Limited public info,0,Mixed,Regional to Global,All genders,Varied,General consumers,Research in progress,1,30,1,50,1.0,25,3,0,https://duckduckgo.com/?q=Compleats
342024,DEKALB,,United States,United States,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown,Limited public info,Limited public info,0,Mixed,Regional to Global,All genders,Varied,General consumers,Research in progress,1,30,1,50,1.0,25,3,0,https://duckduckgo.com/?q=DEKALB
342467,Sweet Things,,India,India,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown,Limited public info,Limited public info,0,Mixed,Regional to Global,All genders,Varied,General consumers,Research in progress,1,30,1,50,1.0,25,3,0,https://duckduckgo.com/?q=Sweet+Things
344143,", S.A. Chameleon Cold Brew",,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown,Limited public info,Limited public info,0,Mixed,Regional to Global,All genders,Varied,General consumers,Research in progress,1,30,1,50,1.0,25,3,0,"https://duckduckgo.com/?q=,+S.A.+Chameleon+Cold+Brew"
341946,Joan of Arc (beans),1997.0,Germany,Germany,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown,Limited public info,Limited public info,0,Mixed,Regional to Global,All genders,Varied,General consumers,Research in progress,1,30,1,50,1.0,25,3,0,https://duckduckgo.com/?q=Joan+of+Arc+(beans)
342023,CropStar,2004.0,United States,United States,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown,Limited public info,Limited public info,0,Mixed,Regional to Global,All genders,Varied,General consumers,Research in progress,1,30,1,50,1.0,25,3,0,https://duckduckgo.com/?q=CropStar
341986,Mona Lisa,2019.0,United States,United States,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown,Limited public info,Limited public info,0,Mixed,Regional to Global,All genders,Varied,General consumers,Research in progress,1,30,1,50,1.0,25,3,0,https://duckduckgo.com/?q=Mona+Lisa
343694,ABC,1903.0,United States,United States,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown,Limited public info,Limited public info,0,Mixed,Regional to Global,All genders,Varied,General consumers,Research in progress,1,30,1,50,1.0,25,3,0,https://duckduckgo.com/?q=ABC
343164,Skinny Pop,2010.0,USA,USA,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown,Limited public info,Limited public info,0,Mixed,Regional to Global,All genders,Varied,General consumers,Research in progress,1,30,1,50,1.0,25,3,0,https://duckduckgo.com/?q=Skinny+Pop
342389,Andy Capp's,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown,Limited public info,Limited public info,0,Mixed,Regional to Global,All genders,Varied,General consumers,Research in progress,1,30,1,50,1.0,25,3,0,https://duckduckgo.com/?q=Andy+Capp's
343273,Simply Smart,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown,Limited public info,Limited public info,0,Mixed,Regional to Global,All genders,Varied,General consumers,Research in progress,1,30,1,50,1.0,25,3,0,https://duckduckgo.com/?q=Simply+Smart
341847,XS,,South Korea,South Korea,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown,Limited public info,Limited public info,0,Mixed,Regional to Global,All genders,Varied,General consumers,Research in progress,1,30,1,50,1.0,25,3,0,https://duckduckgo.com/?q=XS
342835,Baby Ruth,2003.0,United States,United States,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown,Limited public info,Limited public info,0,Mixed,Regional to Global,All genders,Varied,General consumers,Research in progress,1,30,1,50,1.0,25,3,0,https://duckduckgo.com/?q=Baby+Ruth
343609,Pops,,Spain,Spain,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown,Limited public info,Limited public info,0,Mixed,Regional to Global,All genders,Varied,General consumers,Research in progress,1,30,1,50,1.0,25,3,0,https://duckduckgo.com/?q=Pops
345139,Mt Vikos,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown,Limited public info,Limited public info,0,Mixed,Regional to Global,All genders,Varied,General consumers,Research in progress,1,30,1,50,1.0,25,3,0,https://duckduckgo.com/?q=Mt+Vikos
342042,Kyleena,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown,Limited public info,Limited public info,0,Mixed,Regional to Global,All genders,Varied,General consumers,Research in progress,1,30,1,50,1.0,25,3,0,https://duckduckgo.com/?q=Kyleena
342235,Celsius,,United States,United States,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown,Limited public info,Limited public info,0,Mixed,Regional to Global,All genders,Varied,General consumers,Research in progress,1,30,1,50,1.0,25,3,0,https://duckduckgo.com/?q=Celsius
